clip_id,ground_truth_attempt_id,is_evaluable_attempt,ambiguity_flag,start_top_frame,bottom_turnaround_frame,completion_end_top_frame,ground_truth_class,insufficient_depth_flag,incomplete_extension_flag,alignment_deviation_flag,source_video_visibility_status,annotator_notes
dev01_correct,A001,true,false,55,113,154,correct,false,false,false,sufficient,
dev01_correct,A002,true,false,160,225,271,correct,false,false,false,sufficient,
dev01_correct,A003,true,false,285,338,390,correct,false,false,false,sufficient,
dev01_correct,A004,true,false,401,458,508,correct,false,false,false,sufficient,
dev01_correct,A005,true,false,523,580,631,correct,false,false,false,sufficient,
dev01_correct,A006,true,false,652,706,758,correct,false,false,false,sufficient,
dev02_insufficient_depth,A001,true,false,61,101,133,insufficient_depth,true,false,false,sufficient,
dev02_insufficient_depth,A002,true,false,143,186,223,insufficient_depth,true,false,false,sufficient,
dev02_insufficient_depth,A003,true,false,232,276,308,insufficient_depth,true,false,false,sufficient,
dev02_insufficient_depth,A004,true,false,324,368,401,insufficient_depth,true,false,false,sufficient,
dev02_insufficient_depth,A005,true,false,416,464,499,insufficient_depth,true,false,false,sufficient,
dev02_insufficient_depth,A006,true,false,521,562,594,insufficient_depth,true,false,false,sufficient,
dev02_insufficient_depth,A007,true,false,609,655,692,insufficient_depth,true,false,false,sufficient,
dev03_incomplete_extension,A001,true,false,17,62,106,incomplete_extension,false,true,false,sufficient,
dev03_incomplete_extension,A002,true,false,110,157,194,incomplete_extension,false,true,false,sufficient,
dev03_incomplete_extension,A003,true,false,201,250,290,incomplete_extension,false,true,false,sufficient,
dev03_incomplete_extension,A004,true,false,295,354,393,incomplete_extension,false,true,false,sufficient,
dev03_incomplete_extension,A005,true,false,397,452,487,incomplete_extension,false,true,false,sufficient,
dev03_incomplete_extension,A006,true,false,491,547,581,incomplete_extension,false,true,false,sufficient,
dev03_incomplete_extension,A007,true,false,591,643,676,incomplete_extension,false,true,false,sufficient,
dev03_incomplete_extension,A008,true,false,680,739,778,incomplete_extension,false,true,false,sufficient,
dev03_incomplete_extension,F001,false,true,791,,,unscorable,false,false,false,sufficient,unfinished rep; video cuts before cmpletion
dev04_alignment_deviation,A001,true,false,14,71,109,alignment_deviation,false,false,true,sufficient,
dev04_alignment_deviation,A002,true,false,115,178,212,alignment_deviation,false,false,true,sufficient,
dev04_alignment_deviation,A003,true,false,218,285,321,alignment_deviation,false,false,true,sufficient,
dev04_alignment_deviation,A004,true,false,330,388,437,alignment_deviation,false,false,true,sufficient,
dev04_alignment_deviation,A005,true,false,444,514,569,alignment_deviation,false,false,true,sufficient,
dev04_alignment_deviation,A006,true,false,586,645,701,alignment_deviation,false,false,true,sufficient,
dev05_mixed_fast,A001,true,false,14,39,66,correct,false,false,false,sufficient,
dev05_mixed_fast,A002,true,false,97,125,150,alignment_deviation,false,false,true,sufficient,
dev05_mixed_fast,A003,true,false,178,210,236,incomplete_extension,false,true,false,sufficient,
dev05_mixed_fast,A004,true,false,330,359,384,insufficient_depth,true,false,false,sufficient,
dev05_mixed_fast,A005,true,false,415,445,474,correct,false,false,false,sufficient,
dev06_mixed_diagonal,A001,true,false,36,82,127,correct,false,false,false,sufficient,
dev06_mixed_diagonal,A002,true,false,153,187,222,insufficient_depth,true,false,false,sufficient,
dev06_mixed_diagonal,A003,true,false,242,286,322,incomplete_extension,false,true,false,sufficient,
dev06_mixed_diagonal,A004,true,false,399,435,484,alignment_deviation,false,false,true,sufficient,
dev06_mixed_diagonal,A005,true,false,528,570,609,correct,false,false,false,sufficient,
ext_kaggle_01,A001,true,false,0,30,58,correct,false,false,false,sufficient,
ext_kaggle_02,A001,true,false,17,100,144,correct,false,false,false,sufficient,
ext_kaggle_03,A001,true,false,1,43,73,correct,false,false,false,sufficient,
ext_kaggle_04,A001,true,false,10,50,86,alignment_deviation,false,false,true,sufficient,
ext_kaggle_05,A001,true,false,0,41,76,correct,false,false,false,sufficient,
ext_kaggle_06,A001,true,false,22,64,92,alignment_deviation,false,false,true,sufficient,
