clip_id,split,video_path,video_sha256,participant_id,camera_view,source_fps,frame_count,width_px,height_px,recording_condition,notes
dev01_correct,development,data/raw/development/dev01_correct.mp4,0a346b13b7b3c68cf04bd0ab5c9cf76e0ebf86983eb369badf5380fd171ccbb8,P_DEV_01,side,30.00073621438563,815,1920,1080,controlled_indoor_self_recorded,Self-recorded controlled development clip; filename reflects performance intent only and is not ground truth.
dev02_insufficient_depth,development,data/raw/development/dev02_insufficient_depth.mp4,bd5fd047267a54e3761fffdef08720afe15d2b98c010a977d08e633bd50e3537,P_DEV_01,side,29.99873423062318,711,1920,1080,controlled_indoor_self_recorded,Self-recorded controlled development clip; filename reflects performance intent only and is not ground truth.
dev03_incomplete_extension,development,data/raw/development/dev03_incomplete_extension.mp4,2d7aee7f52b4397bedee787c7fa2f5d96f2561af06a5439793b6669f8b612b58,P_DEV_01,side,30.000712606000143,842,1920,1080,controlled_indoor_self_recorded,Self-recorded controlled development clip; filename reflects performance intent only and is not ground truth.
dev04_alignment_deviation,development,data/raw/development/dev04_alignment_deviation.mp4,56d27bcd3285120918b63d48975fbbe0991668e6f6b2365698901cc9da066153,P_DEV_01,side,30.00083104795147,722,1920,1080,controlled_indoor_self_recorded,Self-recorded controlled development clip; filename reflects performance intent only and is not ground truth.
dev05_mixed_fast,development,data/raw/development/dev05_mixed_fast.mp4,e29278659cc5740c78e6a65efdd13535c11895c6bc9d25e18ae5a9bc306e66c2,P_DEV_01,side,30.001178828244726,509,1920,1080,controlled_indoor_self_recorded,Self-recorded controlled development clip; filename reflects performance intent only and is not ground truth.
dev06_mixed_diagonal,development,data/raw/development/dev06_mixed_diagonal.mp4,419605b1ecef997792b6abef09bb9976fb089385339ee479901f7ae6c85d45c8,P_DEV_01,side_diagonal,29.998617575226948,651,1920,1080,controlled_indoor_self_recorded,Self-recorded controlled development clip; filename reflects performance intent only and is not ground truth.
ext_kaggle_01,development,data/raw/external/kaggle_pushup/Correct sequence/Copy of push up 47.mp4,432d676b8fcd0e5d760421a1a3c57a684e5abc1117a69db8a4929160bedbc284,P_EXT_KAGGLE_01,side,25.0,95,640,360,external_kaggle_source_recording,Kaggle source group 'Correct sequence'; source grouping is metadata only and is not project ground truth.
ext_kaggle_02,development,data/raw/external/kaggle_pushup/Correct sequence/Copy of push up 80.mp4,3c12c49fdbc75ac8145d121348a974cece6cf47de9794c0e43ca12e815409bfa,P_EXT_KAGGLE_02,side,25.0,157,640,360,external_kaggle_source_recording,Kaggle source group 'Correct sequence'; source grouping is metadata only and is not project ground truth.
ext_kaggle_03,development,data/raw/external/kaggle_pushup/Correct sequence/Copy of push up 164.mp4,0212fb967e95401e6d99471a814539d373a4b9dd4890c6936adae6753fcb6f46,P_EXT_KAGGLE_03,side,25.0,115,640,360,external_kaggle_source_recording,Kaggle source group 'Correct sequence'; source grouping is metadata only and is not project ground truth.
ext_kaggle_04,development,data/raw/external/kaggle_pushup/Wrong sequence/8.mp4,86e06da20f1cbd4bc9291e3ff3a309df5deaf87eeb2441717fe22eed975c7593,P_EXT_KAGGLE_04,side,29.97,87,640,360,external_kaggle_source_recording,Kaggle source group 'Wrong sequence'; source grouping is metadata only and is not project ground truth.
ext_kaggle_05,development,data/raw/external/kaggle_pushup/Wrong sequence/Copy of push up 42.mp4,d31caa4a2b160554e8694543e685f5733e75fb5867d781c00bd2d172933a4107,P_EXT_KAGGLE_05,side,25.0,116,640,360,external_kaggle_source_recording,Kaggle source group 'Wrong sequence'; source grouping is metadata only and is not project ground truth.
ext_kaggle_06,development,data/raw/external/kaggle_pushup/Wrong sequence/Copy of push up 81.mp4,67d5c4c422da284197ea68e0f0f00b64d1a764efaf24816b867ab80184f5fe70,P_EXT_KAGGLE_06,side_diagonal,25.0,93,640,360,external_kaggle_source_recording,Kaggle source group 'Wrong sequence'; source grouping is metadata only and is not project ground truth.
